subject,n_test,thr_used,rejection_rate,coverage,acc_accept,ba_accept,acc_forced,ba_forced,ece,experts_kept
subject 01,15,0.5080507263016317,0.13333333333333333,0.8666666666666667,0.6153846153846154,0.6190476190476191,0.6666666666666666,0.6696428571428572,0.25837610977617614,bag|svm|xgb|rf|mlp
subject 02,15,0.5506273596165298,0.2,0.8,0.75,0.7857142857142857,0.8,0.8125,0.25411271128188456,bag|svm|xgb|rf|mlp
subject 03,15,0.5148969041526877,0.06666666666666667,0.9333333333333333,0.7857142857142857,0.7916666666666667,0.7333333333333333,0.7321428571428572,0.17718538545994675,bag|svm|xgb|rf
subject 04,15,0.5170527340231054,0.2,0.8,0.75,0.7,0.7333333333333333,0.7142857142857143,0.1739956221009233,bag|svm|xgb|rf|mlp
subject 05,15,0.5114101269280381,0.13333333333333333,0.8666666666666667,0.6153846153846154,0.6125,0.6666666666666666,0.6696428571428572,0.12413050098211498,bag|svm|xgb|rf|mlp
subject 06,15,0.505534489656239,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6904761904761905,0.6666666666666666,0.6696428571428572,0.13669579440419488,bag|svm|xgb|rf|mlp
subject 07,15,0.5013746467848104,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.675,0.7333333333333333,0.7321428571428572,0.22039308094978427,svm|xgb|rf|mlp
subject 08,15,0.5565501913612237,0.2,0.8,0.8333333333333334,0.8333333333333334,0.7333333333333333,0.7410714285714286,0.15830976947240377,bag|svm|xgb|rf|mlp
subject 09,15,0.5481261466177569,0.2,0.8,0.5833333333333334,0.5571428571428572,0.6666666666666666,0.6696428571428572,0.0902083498835153,bag|svm|xgb|rf|mlp
subject 10,15,0.5278610167432551,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.7023809523809523,0.6666666666666666,0.6696428571428572,0.13792699213394072,svm|xgb|rf|mlp
subject 11,15,0.5015117804158594,0.13333333333333333,0.8666666666666667,0.8461538461538461,0.8452380952380952,0.8,0.8035714285714286,0.28753614503901453,bag|svm|xgb|rf|mlp
subject 12,15,0.5052558058538571,0.13333333333333333,0.8666666666666667,0.8461538461538461,0.8571428571428572,0.8666666666666667,0.875,0.32428451430391375,bag|svm|xgb|mlp
subject 13,15,0.5633120881651494,0.2,0.8,0.75,0.75,0.7333333333333333,0.7232142857142857,0.13083645996147694,bag|svm|xgb|mlp
subject 14,15,0.5060895623222583,0.0,1.0,0.8666666666666667,0.8660714285714286,0.8666666666666667,0.8660714285714286,0.33002765871088224,bag|svm|xgb|rf|mlp
subject 15,15,0.5207805440940351,0.2,0.8,0.75,0.75,0.7333333333333333,0.7410714285714286,0.19823724558088013,bag|svm|xgb|rf
subject 16,15,0.5364869396650198,0.2,0.8,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.75,0.16132913751746597,bag|xgb|mlp
subject 17,15,0.5222104287570245,0.2,0.8,0.75,0.7857142857142857,0.6666666666666666,0.6696428571428572,0.28439156326752696,bag|xgb|rf|mlp
subject 18,15,0.5036569300074749,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.7023809523809523,0.6666666666666666,0.6696428571428572,0.1352574417708598,bag|svm|rf|mlp
subject 19,15,0.5076716028531024,0.06666666666666667,0.9333333333333333,0.7857142857142857,0.7857142857142857,0.8,0.7857142857142857,0.22922046962596457,bag|svm|xgb|rf|mlp
subject 20,15,0.5078744845616483,0.06666666666666667,0.9333333333333333,0.7857142857142857,0.7916666666666667,0.8,0.8035714285714286,0.33876295342779256,bag|xgb|rf|mlp
subject 21,15,0.5479518070788428,0.2,0.8,0.75,0.8125,0.7333333333333333,0.7410714285714286,0.1444282667455517,bag|svm|xgb|rf
subject 22,15,0.5312166760127522,0.13333333333333333,0.8666666666666667,0.7692307692307693,0.7857142857142857,0.6666666666666666,0.6785714285714286,0.26249145739145585,bag|svm|xgb|rf
subject 23,15,0.5379060083651439,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6785714285714286,0.7333333333333333,0.7410714285714286,0.28075622510149734,bag|svm|xgb|rf|mlp
subject 24,15,0.5527203724867968,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6375,0.7333333333333333,0.7232142857142857,0.14682011937784098,bag|svm|xgb|mlp
subject 25,15,0.5362843951574624,0.2,0.8,0.6666666666666666,0.7142857142857143,0.7333333333333333,0.75,0.15993409291742494,bag|svm|rf|mlp
subject 26,15,0.5266950690008446,0.13333333333333333,0.8666666666666667,0.6153846153846154,0.6125,0.6666666666666666,0.6696428571428572,0.11564648056104322,bag|svm|xgb|rf
subject 27,15,0.5040266739608509,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6904761904761905,0.6666666666666666,0.6696428571428572,0.1231634568751634,bag|svm|rf|mlp
subject 28,15,0.5189743289826002,0.2,0.8,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.75,0.15964685658814046,bag|svm|xgb|rf|mlp
