subject,win_key,win_sec_start,win_sec_end,r2_thr,n_channels,channels,CV_mean,CV_std,acc_holdout,acc_holdout_mean,acc_holdout_std,accuracy_no_rejection,rej_rate,acc_class1,acc_class2,thr_reject,target_rej,experts_kept,top_channels_ids,top_channels_imp,channels_importance,meta_w_bag,meta_w_svm,meta_w_xgb,meta_w_rf,meta_w_mlp,bag_top10_criterion,bag_top10,bag_selected_count,svm_top10_criterion,svm_top10,svm_selected_count,xgb_top10_criterion,xgb_top10,xgb_selected_count,rf_top10_criterion,rf_top10,rf_selected_count,mlp_top10_criterion,mlp_top10,mlp_selected_count,,ece
subject 01,D,10,13,0.05,13,2|3|5|6|7|9|11|12|14|15|16|18|22,0.715,0.06041523,0.666666667,0.493333333,0.121228282,0.615384615,0.133333333,0.714285714,0.625,0.508050726,0.066666667,bag|svm|xgb|rf|mlp,22|11|2|3|5,0.072397|0.070460|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.070460|0.000000|0.000000|0.000000|0.000000|0.000000|0.072397,0.127042915,0.282868737,0.18112403,0.207091269,0.201873048,ranking_RFE,ch2:O_mean|ch9:R_slope|ch11:O_slope|ch22:O_var|ch11:O_peak|ch12:O_slope|ch12:R_slope|ch12:O_peak|ch12:O_var|ch15:O_slope,37,ranking_RFE,ch11:R_slope|ch22:O_mean|ch15:R_slope|ch15:O_slope|ch22:O_var|ch11:O_slope|ch9:R_slope|ch9:O_slope|ch3:O_peak|ch22:O_minus_R_mean,10,importancia_modelo,ch11:O_slope|ch22:O_slope|ch5:O_peak|ch2:O_mean|ch22:R_mean|ch22:R_slope|ch5:O_slope|ch2:R_mean|ch11:R_slope|ch7:R_slope,10,importancia_modelo,ch22:O_slope|ch11:R_slope|ch22:R_slope|ch11:O_slope,4,scores_SelectKBest,ch11:O_slope|ch11:R_slope|ch12:R_slope|ch12:O_slope|ch16:O_slope|ch16:R_slope|ch15:O_slope|ch15:R_slope|ch6:O_slope|ch6:R_slope,10,,0.25837611
subject 02,C,5,8,0.03,9,2|3|4|5|6|7|9|13|16,0.77,0.151162165,0.8,0.502222222,0.126178396,0.75,0.2,0.625,1,0.52567491,0.155555556,bag|svm|xgb|rf|mlp,13|6|16|3|7,0.047208|0.045438|0.030301|0.011482|0.008429,0.000000|0.011482|0.000000|0.000000|0.045438|0.008429|0.000000|0.047208|0.030301,0.282967239,0.293232808,0.078866376,0.111381449,0.233552129,ranking_RFE,ch2:O_mean|ch16:O_var|ch6:O_peak|ch6:O_var|ch6:O_minus_R_mean|ch7:O_mean|ch7:O_slope|ch7:R_mean|ch7:R_slope|ch7:O_peak,57,ranking_RFE,ch13:O_slope|ch6:O_peak|ch9:O_var|ch5:O_peak|ch13:R_slope|ch13:O_var|ch5:R_slope|ch2:O_var|ch16:R_mean|ch16:O_peak,10,importancia_modelo,ch9:O_var|ch6:O_mean|ch16:O_mean|ch7:R_slope|ch13:R_mean|ch16:O_minus_R_mean|ch13:O_peak|ch16:R_slope|ch7:O_slope|ch7:O_mean,10,importancia_modelo,ch6:R_mean|ch6:O_minus_R_mean|ch13:O_mean|ch13:R_mean|ch16:O_var|ch16:O_mean|ch13:O_minus_R_mean|ch3:O_minus_R_mean|ch7:O_var|ch6:R_slope,10,scores_SelectKBest,ch6:O_peak|ch6:O_mean|ch6:O_minus_R_mean|ch5:O_peak|ch6:R_mean|ch5:O_mean|ch5:O_minus_R_mean|ch5:R_mean|ch3:R_mean|ch3:O_minus_R_mean,10,,0.254112711
subject 03,E,15,18,0.05,7,1|6|17|20|21|22|23,0.585,0.0717635,0.733333333,0.502222222,0.135245547,0.785714286,0.066666667,0.714285714,0.75,0.514896904,0.111111111,bag|svm|xgb|rf,17|23|6|22|20,0.043051|0.032805|0.028802|0.014760|0.012730,0.000000|0.028802|0.043051|0.012730|0.010710|0.014760|0.032805,0.187667546,0.305615618,0.096484176,0.41023266,,ranking_RFE,ch20:R_slope|ch17:R_slope|ch22:O_peak|ch6:R_slope|ch6:O_slope|ch21:R_slope,6,ranking_RFE,ch20:R_slope|ch1:O_var|ch22:O_peak|ch20:O_var|ch6:O_slope|ch6:R_mean|ch6:R_slope|ch20:O_slope|ch17:R_slope|ch21:R_slope,10,importancia_modelo,ch17:O_slope|ch20:O_peak|ch21:O_slope|ch21:R_mean|ch17:O_var|ch6:O_mean|ch23:O_slope|ch1:R_mean|ch22:R_slope|ch23:O_minus_R_mean,10,importancia_modelo,ch17:R_slope|ch17:O_slope|ch6:O_minus_R_mean|ch22:O_peak|ch6:O_peak|ch20:O_peak|ch23:O_var|ch23:O_slope|ch21:R_mean|ch23:R_slope,10,,,,,0.177185385
subject 04,D,10,13,0.03,12,0|6|7|8|12|15|16|18|19|20|21|22,0.765,0.096953597,0.733333333,0.511111111,0.147405546,0.75,0.2,1,0.428571429,0.517052734,0.133333333,bag|svm|xgb|rf|mlp,0|12|21|7|8,0.042910|0.040778|0.014741|0.013543|0.012104,0.042910|0.008212|0.013543|0.012104|0.040778|0.000000|0.000000|0.000000|0.010570|0.000000|0.014741|0.000000,0.163095754,0.401038193,0.22873613,0.117403619,0.089726304,ranking_RFE,ch15:O_minus_R_mean|ch20:O_var|ch15:O_mean|ch7:R_slope|ch21:O_slope|ch7:O_slope|ch21:R_slope|ch6:O_minus_R_mean|ch15:R_mean|ch12:R_slope,20,ranking_RFE,ch15:O_peak|ch15:R_mean|ch12:R_slope|ch0:O_var|ch20:O_var|ch6:O_slope|ch6:R_slope|ch22:O_slope|ch7:R_slope|ch7:O_slope,10,importancia_modelo,ch12:R_slope|ch20:O_mean|ch0:O_minus_R_mean|ch16:R_slope|ch18:R_mean|ch12:O_peak|ch0:O_slope|ch15:O_mean|ch16:O_slope|ch20:R_mean,10,importancia_modelo,ch12:O_slope|ch12:R_slope|ch0:O_slope|ch21:O_slope|ch0:O_var|ch7:O_slope|ch0:R_mean|ch8:O_var|ch19:O_slope|ch6:R_slope,10,scores_SelectKBest,ch7:R_slope|ch7:O_slope|ch6:O_peak|ch21:R_slope|ch6:O_mean|ch21:O_slope|ch0:O_var|ch6:O_minus_R_mean|ch18:O_mean|ch18:O_minus_R_mean,10,,0.173995622
subject 05,D,10,13,0.05,18,0|2|3|4|6|7|8|9|11|12|13|14|16|18|19|20|21|22,0.745,0.09797959,0.666666667,0.462222222,0.120410819,0.615384615,0.133333333,0.625,0.714285714,0.50573742,0.088888889,bag|svm|xgb|rf|mlp,0|13|20|11|6,0.057953|0.050183|0.023065|0.011656|0.000000,0.057953|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.011656|0.000000|0.050183|0.000000|0.000000|0.000000|0.000000|0.023065|0.000000|0.000000,0.200857864,0.53136315,0.142697271,0.082169786,0.042911929,ranking_RFE,ch7:O_peak|ch7:R_mean|ch18:R_slope|ch20:O_slope|ch18:O_slope|ch7:O_minus_R_mean|ch20:R_slope|ch9:O_mean|ch9:O_minus_R_mean|ch11:O_slope,30,ranking_RFE,ch12:O_slope|ch14:O_slope|ch11:R_slope|ch14:R_slope|ch11:O_slope|ch21:R_slope|ch21:O_slope|ch20:O_slope|ch12:R_slope|ch20:R_slope,10,importancia_modelo,ch20:O_mean|ch0:O_mean|ch7:O_peak|ch9:O_peak|ch9:O_var|ch0:R_mean|ch3:R_mean|ch12:R_mean|ch20:O_slope,10,importancia_modelo,ch13:O_minus_R_mean|ch13:O_peak|ch0:O_minus_R_mean|ch0:O_peak|ch13:R_mean|ch0:O_mean|ch20:O_mean|ch11:O_var|ch0:R_mean|ch20:R_mean,10,scores_SelectKBest,ch13:O_peak|ch20:O_mean|ch20:O_minus_R_mean|ch20:R_mean|ch13:O_mean|ch13:O_minus_R_mean|ch13:R_mean|ch20:O_peak|ch7:O_mean|ch7:O_minus_R_mean,10,,0.124130501
subject 06,K,4,14,0.05,8,4|7|8|10|11|15|18|22,0.74,0.086023253,0.666666667,0.48,0.109409188,0.692307692,0.133333333,0.625,0.714285714,0.50553449,0.155555556,bag|svm|xgb|rf|mlp,8|4|7|10|11,0.142857|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.142857|0.000000|0.000000|0.000000|0.000000|0.000000,0.219987145,0.360099407,0.140299408,0.145434374,0.134179666,ranking_RFE,ch4:O_mean|ch11:O_slope|ch11:R_mean|ch11:R_slope|ch11:O_peak|ch11:O_var|ch11:O_minus_R_mean|ch15:O_mean|ch15:O_slope|ch15:R_mean,51,ranking_RFE,ch18:R_mean|ch8:O_minus_R_mean|ch18:O_mean|ch22:R_slope|ch8:R_mean|ch8:O_mean|ch22:O_slope|ch18:O_minus_R_mean|ch18:O_var|ch18:R_slope,10,importancia_modelo,ch10:O_minus_R_mean|ch8:O_var|ch11:O_var|ch15:R_slope|ch15:O_mean|ch10:R_mean|ch18:O_slope|ch22:R_slope|ch11:R_mean,10,importancia_modelo,ch8:O_var,1,scores_SelectKBest,ch4:O_slope|ch4:R_slope|ch7:R_slope|ch7:O_slope|ch11:O_mean|ch11:O_minus_R_mean|ch11:R_mean|ch8:R_mean|ch8:O_minus_R_mean|ch8:O_mean,10,,0.136695794
subject 07,F,16,19,0.03,18,0|1|2|3|6|7|8|9|11|13|16|17|18|19|20|21|22|23,0.715,0.107935166,0.733333333,0.546666667,0.109409188,0.692307692,0.133333333,0.714285714,0.75,0.50789047,0.088888889,svm|xgb|rf|mlp,1|23|21|7|17,0.063907|0.028583|0.019556|0.018723|0.012089,0.000000|0.063907|0.000000|0.000000|0.000000|0.018723|0.000000|0.000000|0.000000|0.000000|0.000000|0.012089|0.000000|0.000000|0.000000|0.019556|0.000000|0.028583,,0.440471985,0.191560958,0.082013277,0.28595378,,,,ranking_RFE,ch17:O_slope|ch18:O_slope|ch1:O_minus_R_mean|ch1:R_slope|ch16:O_mean|ch1:O_mean|ch1:O_slope|ch17:R_slope|ch16:O_minus_R_mean|ch16:R_mean,10,importancia_modelo,ch1:O_peak|ch1:R_mean|ch13:R_mean|ch3:O_var|ch9:O_peak|ch7:O_var|ch11:O_var|ch23:R_slope|ch21:O_peak|ch2:R_slope,10,importancia_modelo,ch1:O_minus_R_mean|ch21:O_peak|ch7:O_var|ch1:O_peak|ch1:R_mean|ch17:O_var|ch23:O_peak|ch1:R_slope|ch23:R_mean|ch23:O_minus_R_mean,10,scores_SelectKBest,ch1:O_mean|ch1:O_minus_R_mean|ch1:R_mean|ch1:O_peak|ch3:O_mean|ch3:O_minus_R_mean|ch3:R_mean|ch23:O_peak|ch0:R_mean|ch0:O_minus_R_mean,10,,0.220393081
subject 08,E,15,18,0.05,6,0|3|9|11|19|21,0.775,0.089442719,0.733333333,0.506666667,0.130639453,0.833333333,0.2,0.857142857,0.625,0.514359604,0.155555556,bag|svm|xgb|rf|mlp,11|0|3|9|19,0.142857|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.142857|0.000000|0.000000,0.112866958,0.026952627,0.483976425,0.115069142,0.261134848,ranking_RFE,ch9:O_minus_R_mean|ch21:R_mean|ch21:O_mean|ch19:O_var|ch19:O_peak|ch19:R_slope|ch19:O_slope|ch11:R_slope|ch11:O_slope|ch21:O_var,22,ranking_RFE,ch11:O_slope|ch11:R_slope|ch9:R_slope|ch9:R_mean|ch9:O_slope|ch19:O_var|ch3:O_var|ch19:O_slope|ch19:R_slope|ch21:O_var,10,importancia_modelo,ch21:O_slope|ch11:O_slope|ch0:O_mean|ch19:O_var|ch0:O_var|ch19:O_minus_R_mean|ch0:R_slope|ch9:O_peak|ch19:R_mean|ch19:O_slope,10,importancia_modelo,ch11:R_slope|ch11:O_slope,2,scores_SelectKBest,ch11:O_slope|ch11:R_slope|ch9:O_slope|ch9:R_slope|ch0:O_slope|ch0:R_slope|ch21:O_slope|ch21:R_slope|ch19:O_slope|ch19:R_slope,10,,0.158309769
subject 09,E,15,18,0.05,7,0|1|3|6|14|16|22,0.795,0.11,0.666666667,0.497777778,0.09696633,0.583333333,0.2,0.625,0.714285714,0.521980188,0.155555556,bag|svm|xgb|rf|mlp,0|1|3|6|14,0.099332|0.043525|0.000000|0.000000|0.000000,0.099332|0.043525|0.000000|0.000000|0.000000|0.000000|0.000000,0.050123451,0.492471468,0.224867328,0.149076736,0.083461016,ranking_RFE,ch14:O_mean|ch0:O_slope|ch16:O_var|ch0:R_slope|ch0:O_peak|ch3:O_mean|ch14:O_peak|ch1:O_mean|ch1:O_minus_R_mean|ch1:R_mean,13,ranking_RFE,ch6:R_slope|ch16:O_var|ch14:O_var|ch14:O_peak|ch0:O_peak|ch1:O_mean|ch1:R_mean|ch6:O_slope|ch1:O_var|ch1:O_minus_R_mean,10,importancia_modelo,ch0:R_slope|ch0:O_slope|ch3:R_mean|ch1:O_peak|ch3:O_mean|ch6:O_slope|ch14:O_var|ch0:R_mean|ch6:O_var|ch22:O_var,10,importancia_modelo,ch0:O_slope|ch0:R_slope|ch1:O_peak,3,scores_SelectKBest,ch6:O_slope|ch6:R_slope|ch0:O_slope|ch0:R_slope|ch1:R_mean|ch1:O_minus_R_mean|ch1:O_mean|ch1:O_peak|ch1:O_var|ch6:O_var,10,,0.09020835
subject 10,E,15,18,0.05,6,2|8|11|19|21|23,0.72,0.057879185,0.666666667,0.542222222,0.076465113,0.692307692,0.133333333,0.625,0.714285714,0.527861017,0.155555556,svm|xgb|rf|mlp,19|2|8|11|21,0.142857|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.142857|0.000000|0.000000,,0.210077968,0.550994565,0.06875581,0.170171656,,,,ranking_RFE,ch8:R_slope|ch19:O_slope|ch19:R_slope|ch2:R_slope|ch19:O_var|ch2:O_var|ch11:O_mean|ch8:O_var|ch8:O_slope|ch8:O_peak,10,importancia_modelo,ch19:O_var|ch8:O_slope|ch19:R_slope|ch23:O_slope|ch23:R_slope|ch19:O_slope|ch8:R_slope|ch2:O_slope|ch19:O_mean|ch21:O_slope,10,importancia_modelo,ch19:R_slope|ch19:O_slope|ch19:O_var,3,scores_SelectKBest,ch8:R_slope|ch19:R_slope|ch8:O_slope|ch19:O_slope|ch21:R_slope|ch21:O_slope|ch19:O_var|ch8:O_var|ch2:O_mean|ch2:O_minus_R_mean,10,,0.137926992
